,ID,Volcano,Event,Flag,SampleID,SampleObservationID,SiO2,TiO2,Al2O3,FeO,Fe2O3,Fe2O3T,FeOT,MnO,MgO,CaO,Na2O,K2O,P2O5,Cl,LOI,Total,Rb,Sr,Y,Zr,Nb,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Pb,Th,U,87Sr_86Sr,2SE_87Sr_86Sr,143Nd_144Nd,2SE_143Nd_144Nd
0,0,Michinmahuida,Lepué,Position_Issue,818-819 cm,818-819 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,Michinmahuida,Lepué,Position_Issue,844 cm,844 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,Michinmahuida,Lepué,Position_Issue,"004D, 891-895cm","004D, 891-895cm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,Michinmahuida,Lepué,Position_Issue,"004D, 934-936cm","004D, 934-936cm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,Puyehue-Cordón Caulle,PCC2011,,PCC-1,PCC-1_1,71.33,0.61,14.56,,,,3.95,0.02,0.54,1.6,4.31,2.91,,,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,Puyehue-Cordón Caulle,PCC2011,,PCC-1,PCC-1_10,73.48,0.29,14.15,,,,3.22,0.06,0.31,1.32,4.09,2.87,,,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,Puyehue-Cordón Caulle,PCC2011,,PCC-1,PCC-1_11,72.69,0.45,14.22,,,,3.72,0.13,0.38,1.34,3.73,3.13,,,-0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,Puyehue-Cordón Caulle,PCC2011,,PCC-1,PCC-1_12,72.86,0.46,14.47,,,,3.59,0.03,0.32,1.3,3.67,3.09,,,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,Puyehue-Cordón Caulle,PCC2011,,PCC-1,PCC-1_13,72.28,0.52,14.3,,,,3.67,0.12,0.4,1.45,4.06,2.99,,,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,Puyehue-Cordón Caulle,PCC2011,,PCC-1,PCC-1_14,72.63,0.5,14.23,,,,3.75,0.1,0.44,1.43,3.94,2.78,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
