,Volcano,SampleObservationID,SampleObservation_distance_to_regression
0,,lv1a_11,
1,Aguilera,PROXAVZ1-A1-93-03_10,1.067575572
2,Aguilera,PROXAVZ1-A1-93-03_11,1.029599084
3,Aguilera,PROXAVZ1-A1-93-03_13,1.371630977
4,Aguilera,PROXAVZ1-A1-93-03_14,1.419074024
5,Aguilera,PROXAVZ1-A1-93-03_15,1.299843344
6,Aguilera,PROXAVZ1-A1-93-03_16,1.395270248
7,Aguilera,PROXAVZ1-A1-93-03_17,1.14478034
8,Aguilera,PROXAVZ1-A1-93-03_18,1.269399543
9,Aguilera,PROXAVZ1-A1-93-03_19,1.274610513
10,Aguilera,PROXAVZ1-A1-93-03_2,1.224039957
11,Aguilera,PROXAVZ1-A1-93-03_21,1.186303934
12,Aguilera,PROXAVZ1-A1-93-03_22,1.397485898
13,Aguilera,PROXAVZ1-A1-93-03_23,1.236277327
14,Aguilera,PROXAVZ1-A1-93-03_24,1.30162754
15,Aguilera,PROXAVZ1-A1-93-03_27,1.497690793
16,Aguilera,PROXAVZ1-A1-93-03_28,1.37586817
17,Aguilera,PROXAVZ1-A1-93-03_3,1.421974544
18,Aguilera,PROXAVZ1-A1-93-03_31,1.276746954
19,Aguilera,PROXAVZ1-A1-93-03_32,1.318746696
20,Aguilera,PROXAVZ1-A1-93-03_5,1.363751496
21,Aguilera,PROXAVZ1-A1-93-03_6,1.369038003
22,Aguilera,PROXAVZ1-A1-93-03_7,1.628379172
23,Aguilera,PROXAVZ1-A1-93-03_8,1.401774068
24,Aguilera,PROXAVZ1-A1-93-03_9,1.484717753
25,,117/4,
26,,93-03 (Glass),
27,,CS-108 (Glass),
28,,PAT-6 (Glass),
29,Antillanca-Casablanca,IT'III-F_2,0.01038388
30,Antillanca-Casablanca,IT'III-F_4,0.220259967
31,Antillanca-Casablanca,IT'III-F_8,0.341886169
32,Antillanca-Casablanca,IT'III-F_9,0.092858718
33,Antillanca-Casablanca,IT'III-G_1,0.127662876
34,Antillanca-Casablanca,IT'III-G_2,0.205926819
35,Antillanca-Casablanca,IT'III-G_3,0.279313227
36,Antillanca-Casablanca,IT'III-G_4,0.091334357
37,Antillanca-Casablanca,IT'III-G_7,0.192975402
38,Antillanca-Casablanca,IT'IV-A_2,0.155698591
39,Antillanca-Casablanca,IT'IV-A_3,0.192279935
40,Antillanca-Casablanca,IT'IV-A_5,0.124244452
41,Antillanca-Casablanca,IT'IV-A_6,0.196617565
42,Antillanca-Casablanca,IT'IV-A_7,0.113155821
43,Antillanca-Casablanca,IT'IV-A_9,0.142131183
44,Antillanca-Casablanca,IT'IV-B_1,0.136216348
45,Antillanca-Casablanca,IT'IV-B_10,0.139757947
46,Antillanca-Casablanca,IT'IV-B_11,0.071943283
47,Antillanca-Casablanca,IT'IV-B_12,0.211831392
48,Antillanca-Casablanca,IT'IV-B_13,0.251100157
49,Antillanca-Casablanca,IT'IV-B_14,0.182516892
50,Antillanca-Casablanca,IT'IV-B_17,0.313632073
51,Antillanca-Casablanca,IT'IV-B_18,0.102808761
52,Antillanca-Casablanca,IT'IV-B_19,0.040733851
53,Antillanca-Casablanca,IT'IV-B_2,0.05818536
54,Antillanca-Casablanca,IT'IV-B_20,0.115382585
55,Antillanca-Casablanca,IT'IV-B_21,0.184009623
56,Antillanca-Casablanca,IT'IV-B_3,0.158607216
57,Antillanca-Casablanca,IT'IV-B_4,0.156189986
58,Antillanca-Casablanca,IT'IV-B_6,0.144621134
59,Antillanca-Casablanca,IT'IV-B_7,0.049696619
60,Antillanca-Casablanca,IT'IV-B_8,0.086906438
61,Antillanca-Casablanca,IT'IV-B_9,0.227125621
62,Antillanca-Casablanca,IT'-VII-C_10,0.051281897
63,Antillanca-Casablanca,IT'-VII-C_11,0.153037852
64,Antillanca-Casablanca,IT'-VII-C_12,0.114057871
65,Antillanca-Casablanca,IT'-VII-C_2,0.024890568
66,Antillanca-Casablanca,IT'-VII-C_3,0.124176968
67,Antillanca-Casablanca,IT'-VII-C_4,0.090855011
68,Antillanca-Casablanca,IT'-VII-C_6,0.078435233
69,Antillanca-Casablanca,IT'-VII-C_8,0.105083899
70,Antillanca-Casablanca,IT'-VII-C_9,0.051185309
71,Antillanca-Casablanca,CT'-II-B_16,0.046401816
72,Antillanca-Casablanca,CT'-II-B_21,0.00176139
73,Antillanca-Casablanca,CT'-II-B_22,0.101860959
74,Antillanca-Casablanca,CT'-II-B_6,0.229834462
75,Antillanca-Casablanca,CT'-II-B_7,0.013224452
76,Antillanca-Casablanca,PII-G_1,0.045467742
77,Antillanca-Casablanca,PII-G_4,0.146833352
78,Antillanca-Casablanca,PII-G_7,0.150655237
79,Antillanca-Casablanca,PII-G_9,0.122024129
80,Antillanca-Casablanca,IT'-VII-B_1,0.256421536
81,Antillanca-Casablanca,IT'-VII-B_10,0.181631087
82,Antillanca-Casablanca,IT'-VII-B_11,0.025675518
83,Antillanca-Casablanca,IT'-VII-B_13,0.006282998
84,Antillanca-Casablanca,IT'-VII-B_14,0.209046766
85,Antillanca-Casablanca,IT'-VII-B_15,0.144853791
86,Antillanca-Casablanca,IT'-VII-B_16,0.013567054
87,Antillanca-Casablanca,IT'-VII-B_17,0.152111701
88,Antillanca-Casablanca,IT'-VII-B_19,0.019824317
89,Antillanca-Casablanca,IT'-VII-B_2,0.037806051
90,Antillanca-Casablanca,IT'-VII-B_3,0.08232118
91,Antillanca-Casablanca,IT'-VII-B_5,0.092076564
92,Antillanca-Casablanca,IT'-VII-B_6,0.089720217
93,Antillanca-Casablanca,IT'-VII-B_7,0.092911836
94,Antillanca-Casablanca,IT'-VII-B_8,0.138015269
95,Antillanca-Casablanca,IT'-VII-B_9,0.011841239
96,,512 IC,
97,,612IIIGb,
98,,612IIIH*,
99,,612IIIH**,
100,Antillanca-Casablanca,GSD5-C_10,0.003573934
101,Antillanca-Casablanca,GSD5-C_12,0.121947752
102,Antillanca-Casablanca,GSD5-C_14,0.079210673
