,Volcano,SampleObservationID,SampleObservation_distance_to_regression
397,Puyehue-Cordón Caulle,18,0.033742113359128516
398,Puyehue-Cordón Caulle,23,0.08746638925852646
400,Puyehue-Cordón Caulle,26,0.08153866309880801
1720,Hudson,Opr-5-1,0.4956287052364637
1721,Hudson,Opr-5-10,0.6171579993466049
1722,Hudson,Opr-5-11,0.48537599006566023
1723,Hudson,Opr-5-12,0.5362124516002598
1724,Hudson,Opr-5-13,0.4772130027444377
1725,Hudson,Opr-5-14,0.5032293741943857
1726,Hudson,Opr-5-15,0.7586482809844646
1727,Hudson,Opr-5-16,0.865156951165691
1728,Hudson,Opr-5-17,0.5630952033212379
1729,Hudson,Opr-5-18,0.8302373170631058
1730,Hudson,Opr-5-19,0.49471707467759096
1731,Hudson,Opr-5-2,0.6643109887647315
1732,Hudson,Opr-5-20,0.6059133918564237
1733,Hudson,Opr-5-21,0.5893861424894256
1734,Hudson,Opr-5-22,0.5529619534599779
1735,Hudson,Opr-5-23,0.718545079448547
1736,Hudson,Opr-5-24,0.6568606324383619
1737,Hudson,Opr-5-25,0.6454104208834316
1738,Hudson,Opr-5-26,0.5830576530075602
1739,Hudson,Opr-5-27,0.4056033736790913
1740,Hudson,Opr-5-3,0.5714384765224689
1741,Hudson,Opr-5-4,0.5378934615542231
1742,Hudson,Opr-5-5,0.6210509581960404
1743,Hudson,Opr-5-6,0.5430822183385526
1744,Hudson,Opr-5-7,0.5228863979567111
1745,Hudson,Opr-5-8,0.6444453922884946
1746,Hudson,Opr-5-9,0.5525909351217593
1814,Hudson,Mir-1-1,0.2717024215721496
1815,Hudson,Mir-1-10,0.9953546201094449
1816,Hudson,Mir-1-11,0.23723940539514424
1817,Hudson,Mir-1-12,0.4142096099619622
1818,Hudson,Mir-1-13,0.3436149991179732
1819,Hudson,Mir-1-14,0.3636491297869392
1820,Hudson,Mir-1-15,0.29343470422770485
1821,Hudson,Mir-1-16,0.3007815423735612
1822,Hudson,Mir-1-17,0.38741032377858564
1823,Hudson,Mir-1-18,0.37202014007847606
1824,Hudson,Mir-1-19,0.2514640672133416
1825,Hudson,Mir-1-2,0.09978727055648322
1826,Hudson,Mir-1-20,0.31892928513751173
1827,Hudson,Mir-1-21,0.24319049076770274
1828,Hudson,Mir-1-22,0.34639581215726556
1829,Hudson,Mir-1-3,0.38244541250845726
1830,Hudson,Mir-1-4,0.3506357886807464
1831,Hudson,Mir-1-5,0.06931113269374156
1832,Hudson,Mir-1-6,0.99052436157596
1833,Hudson,Mir-1-7,0.2921043242571171
1834,Hudson,Mir-1-8,0.2838522673030731
1835,Hudson,Mir-1-9,0.026610316822080305
1871,Hudson,#3,0.5630215902663647
1872,Hudson,#3a,0.5774248778998081
1873,Hudson,#4,0.47172812817448595
1874,Hudson,#5,0.46041672298323694
1875,Hudson,#2,0.3761779179420781
1878,Hudson,Fac-1-1,0.1247786204772407
1879,Hudson,Fac-1-10,0.35543070977576174
1880,Hudson,Fac-1-11,0.1408193766941514
1881,Hudson,Fac-1-12,0.24864596657590743
1882,Hudson,Fac-1-13,0.37806359020442887
1883,Hudson,Fac-1-14,0.21846735708015097
1884,Hudson,Fac-1-15,0.2544895526765843
1885,Hudson,Fac-1-16,0.2744738897064792
1886,Hudson,Fac-1-17,0.29171002816654634
1887,Hudson,Fac-1-2,0.15034542859726918
1888,Hudson,Fac-1-3,0.2521233412084141
1889,Hudson,Fac-1-4,0.4241524041977361
1890,Hudson,Fac-1-5,0.41643614197807977
1891,Hudson,Fac-1-6,1.0132034030194144
1892,Hudson,Fac-1-7,0.2826665286076157
1893,Hudson,Fac-1-8,0.2689432595936804
1894,Hudson,Fac-1-9,0.2723530764012517
1895,Hudson,Lin-1-1,0.16264247032967447
1896,Hudson,Lin-1-2,0.9627763336287042
1897,Hudson,Lin-1-3,0.7745776563338324
1898,Hudson,Lof-1-1,0.24981008416043934
1899,Hudson,Lof-1-5,1.8608231321506925
1900,Hudson,Opr-1-1,0.33951721625566816
1901,Hudson,Opr-1-10,0.04706949902866522
1902,Hudson,Opr-1-11,0.12197435474195317
1903,Hudson,Opr-1-12,0.12928221069823004
1904,Hudson,Opr-1-13,1.2216539748539281
1905,Hudson,Opr-1-14,0.17099485291587377
1906,Hudson,Opr-1-15,0.23182128917004943
1907,Hudson,Opr-1-16,0.6288446101761535
1908,Hudson,Opr-1-2,0.2314501219500503
1909,Hudson,Opr-1-3,0.8417518821886002
1910,Hudson,Opr-1-4,0.07473996265317809
1911,Hudson,Opr-1-5,0.46506627366185743
1912,Hudson,Opr-1-6,0.2740052342091501
1913,Hudson,Opr-1-7,0.08184130225874675
1914,Hudson,Opr-1-8,0.15769033451983383
1915,Hudson,Opr-1-9,0.43621334727078886
1930,Hudson,Lin-2-1,0.04112098750253561
1931,Hudson,Lin-2-10,0.11393909144556112
1932,Hudson,Lin-2-11,0.8315833921508895
1933,Hudson,Lin-2-12,0.31082918230731665
1934,Hudson,Lin-2-13,0.07408003319124869
1935,Hudson,Lin-2-14,0.11859573709380071
1936,Hudson,Lin-2-15,0.1451963942535401
1937,Hudson,Lin-2-16,0.11150327160523954
1938,Hudson,Lin-2-17,0.13073591119749658
1939,Hudson,Lin-2-18,1.1263861598132985
1940,Hudson,Lin-2-19,0.372914471736719
1941,Hudson,Lin-2-2,0.02107860932781517
1942,Hudson,Lin-2-20,0.5016600882152232
1943,Hudson,Lin-2-21,0.0002347514912830143
1944,Hudson,Lin-2-22,0.09847564348844438
1945,Hudson,Lin-2-23,1.0791414658574534
1946,Hudson,Lin-2-24,0.1489544843317646
1947,Hudson,Lin-2-25,0.19542269804891993
1948,Hudson,Lin-2-26,0.11085528531226059
1949,Hudson,Lin-2-3,0.1032669677989788
1950,Hudson,Lin-2-4,0.15191895865241417
1951,Hudson,Lin-2-5,0.46135448883683594
1952,Hudson,Lin-2-6,0.2743850111967329
1953,Hudson,Lin-2-7,0.6906082444752296
1954,Hudson,Lin-2-8,0.1926760291603946
1955,Hudson,Lin-2-9,0.11922343725784118
1956,Hudson,Lof-2-1,1.6210177834359214
1957,Hudson,Lof-2-3,0.4228385410986165
1958,Hudson,Lof-2-4,0.6637731700123849
2005,Hudson,Fac-2-1,0.27672915163531636
2006,Hudson,Fac-2-10,0.034246887309819285
2007,Hudson,Fac-2-11,0.32284945915021296
2008,Hudson,Fac-2-12,0.9979237428206078
2009,Hudson,Fac-2-13,0.02247770171207922
2010,Hudson,Fac-2-14,0.017013101107806773
2011,Hudson,Fac-2-15,0.030885732624837958
2012,Hudson,Fac-2-16,0.08511950360504027
2013,Hudson,Fac-2-2,0.32293621869782907
2014,Hudson,Fac-2-3,0.26197387004679834
2015,Hudson,Fac-2-4,0.43548400705954754
2016,Hudson,Fac-2-5,0.2053957113128915
2017,Hudson,Fac-2-6,0.05621360479459264
2018,Hudson,Fac-2-7,0.5708699547012734
2019,Hudson,Fac-2-8,0.6291827981101576
2020,Hudson,Fac-2-9,0.33914624384999126
2021,Hudson,Lin-3-1,0.17544174359463413
2022,Hudson,Lin-3-10,0.9400203998243161
2023,Hudson,Lin-3-11,0.1760241971520854
2024,Hudson,Lin-3-12,0.4660195937929936
2025,Hudson,Lin-3-13,0.6922933795434658
2026,Hudson,Lin-3-14,0.5229409751000124
2027,Hudson,Lin-3-15,0.13740791315611353
2028,Hudson,Lin-3-16,0.2575105537756867
2029,Hudson,Lin-3-17,0.22238837932377897
2030,Hudson,Lin-3-2,0.4426692602399198
2031,Hudson,Lin-3-3,0.22548308338068188
2032,Hudson,Lin-3-4,0.3377899693451142
2033,Hudson,Lin-3-5,1.8549737233079562
2034,Hudson,Lin-3-6,0.2596930284889266
2035,Hudson,Lin-3-7,0.42070079226407076
