,Volcano,SampleID,sample_RMSE_to_regression
1,Aguilera,PROXAVZ1-A1-93-03,1.394302756
6,Antillanca-Casablanca,CLD238H,0.20975576
7,Antillanca-Casablanca,CLD238I,0.191961957
8,Antillanca-Casablanca,CLD238J,0.158059826
9,Antillanca-Casablanca,CLD238K,0.163779364
10,Antillanca-Casablanca,CLD248C,0.096641448
11,Antillanca-Casablanca,CLD248D,0.119302516
12,Antillanca-Casablanca,CLD256A,0.123227369
17,Antillanca-Casablanca,CLD241H,0.094189839
18,Antillanca-Casablanca,CLD246A,0.283599706
20,Apagado,N115,0.259816458
21,Apagado,N96/8,0.146543161
22,Apagado,V149,0.15962412
23,Apagado,Ap1,0.120225703
24,Caburga-Huelemolle,CLD041C,0.296331261
25,Caburga-Huelemolle,CLD042A,0.335946401
26,Caburga-Huelemolle,CLD043A,0.210223183
27,Caburga-Huelemolle,CLD044A,0.381661709
28,Caburga-Huelemolle,LR0901B-T6-61,0.129570561
29,Caburga-Huelemolle,LR0901B-T7-3,0.495864793
30,Caburga-Huelemolle,VILLAR1C-I-82,0.64746119
31,Caburga-Huelemolle,VILLAR1C-I-94,0.04855255
32,Calbuco,CLD340A,0.753533819
33,Calbuco,CLD340C,0.657551931
34,Calbuco,CLD341A,0.568109549
48,Chaitén,Ant-1,0.110488044
49,Chaitén,20-2C,0.086634529
50,Chaitén,9J13S5-T2,0.103998345
51,Chaitén,CLD342A,0.106324836
52,Chaitén,26-8B,0.115943277
53,Chaitén,LAZ-T13,0.184944794
54,Chaitén,AT3-T6,0.12846093
55,Chaitén,LR0901B-T6-48,0.117665086
56,Chaitén,Cha-1 (sensu stricto) lower,0.197141554
57,Chaitén,Cha-1 (sensu stricto) upper,0.288782714
58,Chaitén,8J13S2-T2,0.129958313
59,Chaitén,Pum-4-8,0.166310183
60,Chaitén,Ralún,0.032627719
61,Chaitén,Raya-1,0.212757899
62,Chaitén,VILLAR1C-I-41.5,0.141021498
63,Chaitén,13-1C,0.085363998
64,Chaitén,825-2A,0.074734947
65,Chaitén,F2-e,0.182824946
66,Chaitén,SC-T3,0.119262316
67,Chaitén,SC-T4,0.102192637
68,Chaitén,Pum-2-2,0.090805472
69,Chaitén,Pum-4-6,0.109210269
70,Chaitén,Pum-2-10,0.182922287
71,Chaitén,Pum-4-3,0.234015856
72,Chaitén,Cha 2008,0.180678011
73,Chaitén,SC-T1,0.102105184
74,Chaitén,1101SC1 7-8 cm,0.137505766
75,Chaitén,1101SC1 8-9 cm,0.175225156
76,Chaitén,Pum-2-1,0.0884963
77,Chaitén,S2-20-02-2009,0.362664906
78,Chaitén,S3-20-02-2009,0.282501605
79,Chaitén,S5-21-02-2009,0.115028742
80,Chaitén,S9-04-05-2008,0.036162246
81,Chaitén,GPS19-10-06-2008,0.541623192
82,Chaitén,Tobogán-10-06-2008,0.283476747
83,Chaitén,Trevelín3-08-05-2008,0.091603589
84,Chaitén,Trevelín4-12-05-2008,0.067983707
85,Chaitén,Trevelín5-14-05-2008,0.08039255
86,Chaitén,Bariloche-1-07-05-2008,0.040585846
87,Chaitén,CorFruta-04-05-2008,0.107865717
88,Chaitén,ElCelta-03-05-2008,0.056899079
89,Chaitén,Epuyen-06-05-2008,0.070334098
90,Chaitén,Esquel-05-05-2008,0.063061807
91,Chaitén,Nalca-31-05-2008,0.181406225
92,Chaitén,F2-d,0.208429556
93,Chaitén,SC-T6,0.143316941
94,Chaitén,Pum-2-6,0.109915441
95,Hornopirén,N70,0.126906192
96,Hornopirén,V94,0.165953065
105,Hudson,AR-1F,0.178153224
106,Hudson,EO-1B,0.097832897
107,Hudson,EO-2H,0.095431118
108,Hudson,B-3,0.110859574
109,Hudson,B-4,0.127358564
110,Hudson,Opr-5,0.608386682
111,Hudson,ROH-2C,0.189635346
112,Hudson,PROXAVZ1-H1-93-21G,0.123127423
113,Hudson,PROXAVZ1-H1-RI-16,0.193911003
114,Hudson,90-12,0.248360334
115,Hudson,90-14,0.015069099
116,Hudson,90-23G (Glass shards),0.158893536
117,Hudson,Mir-1,0.418211913
118,Hudson,AVZ3-H2Q-60-85,0.257165238
119,Hudson,H2-Q_60-85,0.241190031
120,Hudson,H2-E_0-30,0.230828714
121,Hudson,67-74 cm,0.028020993
122,Hudson,110-2,0.098308831
123,Hudson,110-3,0.620547544
124,Hudson,209,0.405861967
125,Hudson,207b,0.175740112
126,Hudson,208a,0.059428023
127,Hudson,210a,0.379358629
128,Hudson,210B,0.115367928
129,Hudson,Fac-1,0.373496539
130,Hudson,Lin-1,0.725658513
131,Hudson,Lof-1,1.338829918
132,Hudson,Opr-1,0.464933506
133,Hudson,3088-800,0.303623132
134,Hudson,Lin-2,0.42555801
135,Hudson,Lof-2,1.049162914
136,Hudson,Six-1,0.303579905
137,Hudson,Stb-1,0.217496106
138,Hudson,3088-750,0.288236542
139,Hudson,Fac-2,0.393129863
140,Hudson,Lin-3,0.61049193
141,Hudson,Lof-4,0.472501348
142,Hudson,Opr-3,0.465160722
143,Hudson,Opr-4,1.000609064
144,Hudson,Six-2,0.266322529
145,Hudson,Stb-2,0.302133613
146,Hudson,380-660,0.254977611
147,Hudson,Lin-4,0.690654882
148,Hudson,Mar-01,0.184150229
149,Hudson,Mir-2,0.248432165
150,Hudson,Opr-7,0.472220264
151,Hudson,Six-3,0.252925248
152,Hudson,Stb-3,0.185524101
153,Hudson,Mar-02,0.602607792
154,Hudson,Mir-3,0.125731856
155,Hudson,Opr-8,0.566474884
156,Hudson,Stb-4,0.271044951
157,Hudson,3088-160,0.357795177
158,Hudson,T1/100,0.176334267
159,Lanín,CLD406F,0.314685501
160,Lanín,CLD406A,0.635990632
162,Lautaro,Laut-VER17,0.34644168
163,Lautaro,Laut-GEM10,0.353168092
164,Lautaro,Laut-VER7,0.339474493
166,Llaima,8LM-339_A1,0.017875679
167,Llaima,8LM-339_A11,0.081478392
168,Llaima,8LM-339_A11m,0.168303214
169,Llaima,8LM-339_A15,0.105601367
170,Llaima,8LM-339_A17,0.145920068
171,Llaima,8LM-339_A19,0.255391743
172,Llaima,8LM-339_A19m,0.195645909
173,Llaima,8LM-339_A1b,0.1000674
174,Llaima,8LM-339_A1m,0.152601027
175,Llaima,8LM-339_A20,0.10634939
176,Llaima,8LM-339_A20m,0.155215885
177,Llaima,8LM-339_A21,0.226340314
178,Llaima,8LM-339_A22,0.040440792
179,Llaima,8LM-339_A22m,0.069107992
180,Llaima,8LM-339_A26,0.103586693
181,Llaima,8LM-339_A27,0.021362328
182,Llaima,8LM-339_A29,0.150749783
183,Llaima,8LM-339_A29b,0.115184893
184,Llaima,8LM-339_A32,0.069090601
185,Llaima,8LM-339_A32m,0.42074538
186,Llaima,8LM-339_A32m2,0.076290203
187,Llaima,8LM-339_A34,0.095731051
188,Llaima,8LM-339_A34m,0.181366532
189,Llaima,8LM-339_A34m2,0.136743495
190,Llaima,8LM-339_A41,0.107580033
191,Llaima,8LM-339_A41b,0.040857118
192,Llaima,8LM-339_A41c,0.061257618
193,Llaima,8LM-339_A43,0.125491761
194,Llaima,8LM-339_A43m,0.013763719
195,Llaima,8LM-339_A43m2,0.058578436
196,Llaima,8LM-339_A44,0.086184835
